"address, ""latitude"",""longitude2"
"4.431113,-75.218829,""Cra. 4a #36-2 a 36-62, Ibagué, Tolima, Colombia"""
"4.430974,-75.217606,""Cl. 37 #4b-05, Ibagué, Tolima, Colombia"""
"4.429476,-75.217048,""Cra. 4 #38-2, Ibagué, Tolima, Colombia"""
"4.428899,-75.218722,""Cra. 2 #36-1 a 36-103, Ibagué, Tolima, Colombia"""
"4.430236,-75.219462,""Cra. 2 #35b-1 a 35b-75, Ibagué, Tolima, Colombia"""
"4.431413,-75.220481,""Cra. 4 #35-1 a 35-85, Ibagué, Tolima, Colombia"""
"4.430182,-75.216018,""Cra. 4 #39-29, Ibagué, Tolima, Colombia"""
"4.430461,-75.214838,""Cra. 4 #39-2 a 39-96, Ibagué, Tolima, Colombia"""
"4.431744,-75.217938,""Cl. 37 #4a-3 a 4a-35, Ibagué, Tolima, Colombia"""
"4.432964,-75.217853,""Cl. 37 #4b-05, Ibagué, Tolima, Colombia"""
"4.428567,-75.217574,""Cra. 3a #37-25 a 37-73, Ibagué, Tolima, Colombia"""
"4.429749,-75.215524,""Cra 3 #38c-2 a 38c-84, Ibagué, Tolima, Colombia"""
"4.429904,-75.214843,""Cl. 39 #2b-1 a 2b-55, Ibagué, Tolima, Colombia"""
"4.430156,-75.213808,""Cl. 42 #2a-2 a 2a-66, Ibagué, Tolima, Colombia"""
"4.430776,-75.213963,""Cl. 42, Ibagué, Tolima, Colombia"""
"4.431873,-75.214269,""Cl. 42 #4b-38 a 4b-68, Ibagué, Tolima, Colombia"""
"4.431322,-75.214189,""Cl. 40 #4a-2 a 4a-40, Ibagué, Tolima, Colombia"""
"4.430878,-75.215814,""Cl. 39b #4-54 a 4-68, Ibagué, Tolima, Colombia"""
"4.430236,-75.217010,""Cra. 4a #38b-31 a 38b-49, Ibagué, Tolima, Colombia"""
"4.431536,-75.220733,""Cra. 4 #34b-90 a 34b-94, Ibagué, Tolima, Colombia"""
"4.431220,-75.219591,""Cra. 4a #35-57 a 35-85, Ibagué, Tolima, Colombia"""
"4.430033,-75.216517,""Cra. 4 #38b-2 a 38b-58, Ibagué, Tolima, Colombia"""
"4.429616,-75.213663,""Cra. 2a #42-2, Ibagué, Tolima, Colombia"""
"4.430006,-75.214500,""Cra 3 #39-2 a 39-38, Ibagué, Tolima, Colombia"""
"4.431049,-75.220191,""Cra. 4 #35-88 a 35-168, Ibagué, Tolima, Colombia"""
